Titles,ShelterName,Provider,Facility,DHS Building ID,Facility Type,Borough,Landlord,Open Violations,New Violations,Closed Violations,Total Open Violations ,location,latitude,longitude
"SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel",SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"Days Inn xx Welcome Center, Acacia Network Housing, Adult Commercial Hotel",Days Inn xx Welcome Center, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"SUPER 8 BRONX, Acacia Network Housing, Adult Commercial Hotel",SUPER 8 BRONX, Acacia Network Housing, Adult Commercial Hotel,,,,,,,,,,,
"NAICA I, NAICA, Adult Commercial Hotel",NAICA I, NAICA, Adult Commercial Hotel,485126.0,Adult Commercial Hotel,Bronx,AMG ELTON LLC,7.0,2.0,0.0,9.0,{'lat': 40.83195 'lng': -73.920667},40.83195,-73.920667
"Red Lion, Community Housing Innovations Inc., Adult Commercial Hotel",Red Lion, Community Housing Innovations Inc., Adult Commercial Hotel,521296.0,Adult Commercial Hotel,Bronx,BROOK HOSPITALITY LLC,0.0,0.0,0.0,0.0,{'lat': 40.8447819 'lng': -73.8648268},40.8447819,-73.8648268
"BPM Hotel, African American Planning Commission, Adult Commercial Hotel",BPM Hotel, African American Planning Commission, Adult Commercial Hotel,521216.0,Adult Commercial Hotel,Bronx,"SOUTHERN HOSPITALITY, LLC",0.0,1.0,0.0,1.0,{'lat': 40.8613808 'lng': -73.8972239},40.8613808,-73.8972239
"Comfort Inn Sunset Senior Hotel, Acacia Network Housing, Adult Commercial Hotel",Comfort Inn Sunset Senior Hotel, Acacia Network Housing, Adult Commercial Hotel,440832.0,Adult Commercial Hotel,Bronx,UNAVAILABLE OWNER,4.0,0.0,0.0,4.0,{'lat': 40.8099891 'lng': -73.929248},40.8099891,-73.929248
"Willow Men's Shelter, Westhab Inc, Adult Commercial Hotel",Willow Men's Shelter, Westhab Inc, Adult Commercial Hotel,187235.0,Adult Commercial Hotel,Brooklyn,BUTLER HOTEL PROPERTY LLC,0.0,1.0,0.0,1.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Kings Hotel, African American Planning Commission, Adult Commercial Hotel",Kings Hotel, African American Planning Commission, Adult Commercial Hotel,441601.0,Adult Commercial Hotel,Brooklyn,XRD ST BPM BROOKLYN,0.0,0.0,0.0,0.0,{'lat': 40.6491116 'lng': -74.0006131},40.6491116,-74.0006131
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,519247.0,Adult Commercial Hotel,Brooklyn,B BROOKLYN LLC,2.0,0.0,0.0,2.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Hotel OmXX, VIP Community Services, Adult Commercial Hotel",Hotel OmXX, VIP Community Services, Adult Commercial Hotel,211267.0,Adult Commercial Hotel,Brooklyn,"COSMIC REALTY, LLC",1.0,0.0,0.0,1.0,{'lat': 40.65679799999999 'lng': -74.0067299},40.656798,-74.0067299
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,229121.0,Adult Commercial Hotel,Brooklyn,"KINGS HOTEL , INC     UCHE EMELUMAN",0.0,0.0,0.0,0.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,198417.0,Adult Commercial Hotel,Brooklyn,X ST MARKS AVE LLC,1.0,0.0,0.0,1.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel",Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel,169228.0,Adult Commercial Hotel,Brooklyn,"AMR DEVELOPMENT, LLC",8.0,0.0,0.0,8.0,{'lat': 40.6757999 'lng': -73.90520269999999},40.6757999,-73.9052027
"Sumner Hotel Senior, Acacia Network Housing, Adult Commercial Hotel",Sumner Hotel Senior, Acacia Network Housing, Adult Commercial Hotel,148736.0,Adult Commercial Hotel,Brooklyn,SANRAJ INC,4.0,0.0,1.0,3.0,{'lat': 40.7007744 'lng': -73.9403947},40.7007744,-73.9403947
"Hotel Gowanus, African American Planning Commission, Adult Commercial Hotel",Hotel Gowanus, African American Planning Commission, Adult Commercial Hotel,148774.0,Adult Commercial Hotel,Brooklyn,BGFLATLANDS LLC,0.0,11.0,10.0,1.0,{'lat': 40.6751161 'lng': -73.9879753},40.6751161,-73.9879753
"Brooklyn XX Hotel, African American Planning Commission, Adult Commercial Hotel",Brooklyn XX Hotel, African American Planning Commission, Adult Commercial Hotel,138639.0,Adult Commercial Hotel,Brooklyn,NEW P & S REALTY CORP,0.0,0.0,0.0,0.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"LaQuinta xx Hotel, African American Planning Commission, Adult Commercial Hotel",LaQuinta xx Hotel, African American Planning Commission, Adult Commercial Hotel,519168.0,Adult Commercial Hotel,Brooklyn,G-ELUL REALTY CORP,0.0,7.0,0.0,7.0,{'lat': 40.6251117 'lng': -73.9919456},40.6251117,-73.9919456
"CORE Super 8, Community Housing Innovations, Inc.",CORE Super 8, Community Housing Innovations, Inc.,451329.0,Adult Commercial Hotel,Brooklyn,"22 STREET SAI , LLC",0.0,0.0,0.0,0.0,{'lat': 40.669752 'lng': -73.8956872},40.669752,-73.8956872
"Metropolitan Reasonable Accommodation, Acacia Network Housing, Adult Commercial Hotel",Metropolitan Reasonable Accommodation, Acacia Network Housing, Adult Commercial Hotel,188794.0,Adult Commercial Hotel,Brooklyn,X 4TH AVE ASSOCIATE,0.0,0.0,0.0,0.0,{'lat': 40.7136534 'lng': -73.9494466},40.7136534,-73.9494466
"Sleep Inn xx, Acacia Network Housing, Adult Commercial Hotel",Sleep Inn xx, Acacia Network Housing, Adult Commercial Hotel,474880.0,Adult Commercial Hotel,Brooklyn,PITKIN HOSPITALITY MANAGEMENT NY LL,1.0,0.0,0.0,1.0,{'lat': 40.6634211 'lng': -73.9977112},40.6634211,-73.9977112
"Blake Hotel, Acacia Network Housing, Adult Commercial Hotel",Blake Hotel, Acacia Network Housing, Adult Commercial Hotel,142034.0,Adult Commercial Hotel,Brooklyn,"PRIOLO, JOSEPH",1.0,0.0,1.0,0.0,{'lat': 40.6679982 'lng': -73.8938472},40.6679982,-73.8938472
"BRC Stabilization, Bowery Residents Committee Inc. // Adult Commercial Hotel // xx Holiday Inn // African American Planning Commission, Adult Commercial Hotel",BRC Stabilization, Bowery Residents Committee Inc. // Adult Commercial Hotel // xx Holiday Inn // African American Planning Commission, Adult Commercial Hotel,504064.0,Adult Commercial Hotel,Brooklyn,UNION HOTEL PARK LLC,1.0,0.0,0.0,1.0,{'lat': 40.7366892 'lng': -73.9519798},40.7366892,-73.9519798
"SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel",SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel,524033.0,Adult Commercial Hotel,Brooklyn,RATAN STILLWELL L.L.C,0.0,0.0,0.0,0.0,{'lat': 40.6658366 'lng': -73.8073314},40.6658366,-73.8073314
"Travel Inn, Acacia Network Housing, Adult Commercial Hotel",Travel Inn, Acacia Network Housing, Adult Commercial Hotel,507985.0,Adult Commercial Hotel,Brooklyn,PR HOLDINGS LLC,0.0,0.0,0.0,0.0,{'lat': 40.7575221 'lng': -73.99159929999999},40.7575221,-73.9915993
"NAICA I, NAICA, Adult Commercial Hotel",NAICA I, NAICA, Adult Commercial Hotel,180064.0,Adult Commercial Hotel,Manhattan,SC DELANCEY LLC,0.0,0.0,0.0,0.0,{'lat': 40.83195 'lng': -73.920667},40.83195,-73.920667
"NEW LIFE Institute For Community Living, Adult Commercial Hotel // Two Bridges // Institute For Community Living, Adult Commercial Hotel",NEW LIFE Institute For Community Living, Adult Commercial Hotel // Two Bridges // Institute For Community Living, Adult Commercial Hotel,506454.0,Adult Commercial Hotel,Manhattan,PARK AVENUE HOSPITALITY LLC,1.0,0.0,1.0,0.0,{'lat': 40.7830603 'lng': -73.9712488},40.7830603,-73.9712488
"Hotel X, Samaritan Daytop Village, Adult Commercial Hotel",Hotel X, Samaritan Daytop Village, Adult Commercial Hotel,521996.0,Adult Commercial Hotel,Manhattan,R.BORN ASSOC.,1.0,42.0,34.0,9.0,{'lat': 40.75777370000001 'lng': -73.9667949},40.7577737,-73.9667949
"Econolodge, African American Planning Commission, Adult Commercial Hotel",Econolodge, African American Planning Commission, Adult Commercial Hotel,141312.0,Adult Commercial Hotel,Manhattan,"LBW ENTERPRISES, LLC.",3.0,0.0,0.0,3.0,{'lat': 40.76039600000001 'lng': -73.987764},40.760396,-73.987764
"GATE xxx QUARANTINE, BRONX PARENT HOUSING NETWORK, Adult Commercial Hotel",GATE xxx QUARANTINE, BRONX PARENT HOUSING NETWORK, Adult Commercial Hotel,512874.0,Adult Commercial Hotel,Queens,JAI AMBE,3.0,0.0,1.0,2.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"Van Siclen Shelter, Samaritan Daytop Village, Adult Commercial Hotel",Van Siclen Shelter, Samaritan Daytop Village, Adult Commercial Hotel,496897.0,Adult Commercial Hotel,Queens,DEEP REALTY LLC,1.0,0.0,0.0,1.0,{'lat': 40.6884171 'lng': -73.8134057},40.6884171,-73.8134057
"49th Street Residence, Samaritan Daytop Village, Adult Commercial Hotel",49th Street Residence, Samaritan Daytop Village, Adult Commercial Hotel,187455.0,Adult Commercial Hotel,Queens,AUM SIDHDHY VINAYAK,1.0,0.0,1.0,0.0,{'lat': 40.7569566 'lng': -73.9106756},40.7569566,-73.9106756
"Days Inn xxx, Acacia Network Housing, Adult Commercial Hotel",Days Inn xxx, Acacia Network Housing, Adult Commercial Hotel,561769.0,Adult Commercial Hotel,Queens,MLT CANYON LLC C/O J,0.0,3.0,0.0,3.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"Best Western, Acacia Network Housing, Adult Commercial Hotel",Best Western, Acacia Network Housing, Adult Commercial Hotel,141259.0,Adult Commercial Hotel,Queens,"JFK HOTEL OWNER, LLC",8.0,0.0,0.0,8.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel",SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel,547072.0,Adult Commercial Hotel,Queens,EXCLUSIVE HOSPITALITY,0.0,0.0,0.0,0.0,{'lat': 40.6658366 'lng': -73.8073314},40.6658366,-73.8073314
"Casa Esperanza, VIP Community Services, Adult Commercial Hotel",Casa Esperanza, VIP Community Services, Adult Commercial Hotel,209671.0,Adult Commercial Hotel,Queens,"MASTRONARDI, VINCENZO",0.0,0.0,0.0,0.0,{'lat': 40.842114 'lng': -73.8930108},40.842114,-73.8930108
"Eldert Lane Shelter, Institute For Community Living, Adult Commercial Hotel",Eldert Lane Shelter, Institute For Community Living, Adult Commercial Hotel,520960.0,Adult Commercial Hotel,Queens,"STERLING & CIE, LLC",2.0,0.0,0.0,2.0,{'lat': 40.675806 'lng': -73.8643762},40.675806,-73.8643762
"Holiday Inn JFK xx, Acacia Network Housing, Adult Commercial Hotel",Holiday Inn JFK xx, Acacia Network Housing, Adult Commercial Hotel,141134.0,Adult Commercial Hotel,Queens,STERLING & CIE LLC,1.0,0.0,0.0,1.0,{'lat': 40.63977149999999 'lng': -73.74336020000001},40.6397715,-73.7433602
"La Quinta Reasonable Accommodation, Lantern Community Services, Adult Commercial Hotel",La Quinta Reasonable Accommodation, Lantern Community Services, Adult Commercial Hotel,507905.0,Adult Commercial Hotel,Queens,PUSHPA HOLDING LLC,0.0,0.0,0.0,0.0,{'lat': 40.7436698 'lng': -73.9273087},40.7436698,-73.9273087
"Best Western Plus XXX, VIP Community Services, Adult Commercial Hotel",Best Western Plus XXX, VIP Community Services, Adult Commercial Hotel,503613.0,Adult Commercial Hotel,Queens,PRIYA HOSPITALITY LLC,5.0,0.0,4.0,1.0,{'lat': 40.755829 'lng': -73.941065},40.755829,-73.941065
"NAICA I, NAICA, Adult Commercial Hotel",NAICA I, NAICA, Adult Commercial Hotel,518193.0,Adult Commercial Hotel,Queens,"BRISAM JFK, LLC",4.0,0.0,3.0,1.0,{'lat': 40.770266 'lng': -73.86992219999999},40.770266,-73.8699222
"Eldert Lane Shelter, Institute For Community Living, Adult Commercial Hotel",Eldert Lane Shelter, Institute For Community Living, Adult Commercial Hotel,508418.0,Adult Commercial Hotel,Queens,X ROCKAWAY BEACH LLC,2.0,1.0,3.0,0.0,{'lat': 40.675806 'lng': -73.8643762},40.675806,-73.8643762
"BPHN BROOKLYN HOTELS, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel",BPHN BROOKLYN HOTELS, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel,208641.0,Adult Commercial Hotel,Queens,SHAHEN GUIRAGOSSIAN,1.0,0.0,1.0,0.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"BPHN BROOKLYN HOTELS, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel",BPHN BROOKLYN HOTELS, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel,428800.0,Adult Commercial Hotel,Queens,X LAGUARDIA LLC,3.0,0.0,0.0,3.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"Beaver Pond Residence, Bowery Residents Committee Inc., Adult Family Commercial Hotel",Beaver Pond Residence, Bowery Residents Committee Inc., Adult Family Commercial Hotel,554656.0,Adult Commercial Hotel,Queens,SHIV DARSHAN INS,4.0,0.0,0.0,4.0,{'lat': 40.7045582 'lng': -73.78815580000001},40.7045582,-73.7881558
"BPHN Queens Hotels, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel",BPHN Queens Hotels, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel,557835.0,Adult Family Commercial Hotel,Brooklyn,X FLSHG LLC,1.0,1.0,1.0,1.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"MILLENNIUM CARE, Acacia Network Housing, Adult Family Shelter",MILLENNIUM CARE, Acacia Network Housing, Adult Family Shelter,544261.0,Adult Family Commercial Hotel,Brooklyn,"GLDMN DEV , INC",0.0,1.0,0.0,1.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"GRAND CONCOURSE RESIDENCE, Home/Life Services Inc., Adult Family Shelter",GRAND CONCOURSE RESIDENCE, Home/Life Services Inc., Adult Family Shelter,557826.0,Adult Family Commercial Hotel,Queens,"DGLS HLD , LLC",0.0,1.0,0.0,1.0,{'lat': 40.8656544 'lng': -73.8946438},40.8656544,-73.8946438
"STAR BRIGHT RESIDENCE, Home/Life Services Inc., Adult Family Shelter",STAR BRIGHT RESIDENCE, Home/Life Services Inc., Adult Family Shelter,547883.0,Adult Family Commercial Hotel,Queens,0,4.0,0.0,0.0,4.0,{'lat': 40.6497718 'lng': -73.89791939999999},40.6497718,-73.8979194
"AUBURN FAMILY RESIDENCE, NYC Department Of Homeless Services Adult Family Shelter // Adult Family Annex // NYC Department Of Homeless Services, Family Late Arrival",AUBURN FAMILY RESIDENCE, NYC Department Of Homeless Services Adult Family Shelter // Adult Family Annex // NYC Department Of Homeless Services, Family Late Arrival,1143.0,Adult Family Shelter,Bronx,"X PROSPECT, LLC",1.0,0.0,0.0,1.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"CLAY FAMILY RESIDENCE, Home/Life Services Inc., Adult Family Shelter",CLAY FAMILY RESIDENCE, Home/Life Services Inc., Adult Family Shelter,1383.0,Adult Family Shelter,Bronx,CONCOURSE RES HOTEL,2.0,0.0,0.0,2.0,{'lat': 40.8386109 'lng': -73.884581},40.8386109,-73.884581
"PRAXIS XX AVENUE SHELTER, Praxis Housing Initiatives Inc., Adult Family Shelter",PRAXIS XX AVENUE SHELTER, Praxis Housing Initiatives Inc., Adult Family Shelter,1244.0,Adult Family Shelter,Brooklyn,E&M ASSOCIATES I LLC,3.0,0.0,1.0,2.0,{'lat': 40.7196012 'lng': -73.96081769999999},40.7196012,-73.9608177
"HARMONIA RESIDENCE, SERVICES FOR THE UNDERSERVED, Adult Family Shelter",HARMONIA RESIDENCE, SERVICES FOR THE UNDERSERVED, Adult Family Shelter,1031.0,Adult Family Shelter,Brooklyn,NYC Owned (H&H),4.0,0.0,1.0,3.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"PHI RIVERSIDE, Praxis Housing Initiatives Inc., Adult Family Shelter",PHI RIVERSIDE, Praxis Housing Initiatives Inc., Adult Family Shelter,1304.0,Adult Family Shelter,Brooklyn,MANHATTAN AVENUE HOTEL LLC,1.0,0.0,0.0,1.0,{'lat': 40.7940405 'lng': -73.9748875},40.7940405,-73.9748875
"EL CAMINO INN, SCO Family Services, Adult Family Shelter",EL CAMINO INN, SCO Family Services, Adult Family Shelter,237824.0,Adult Family Shelter,Brooklyn,X ATL REALTY CORP,3.0,0.0,0.0,3.0,{'lat': 40.6781784 'lng': -73.9441579},40.6781784,-73.9441579
"BEACH RESIDENCE, Westhab Inc, Adult Family Shelter",BEACH RESIDENCE, Westhab Inc, Adult Family Shelter,190723.0,Adult Family Shelter,Manhattan,LEMARQUIS ASSOCIATES,8.0,0.0,1.0,7.0,{'lat': 40.84234319999999 'lng': -73.9446157},40.8423432,-73.9446157
"NORTH STAR RESIDENCE, Home/Life Services Inc., Adult Family Shelter",NORTH STAR RESIDENCE, Home/Life Services Inc., Adult Family Shelter,210690.0,Adult Family Shelter,Manhattan,ESPLANADE X LLC,4.0,4.0,4.0,4.0,{'lat': 40.7362139 'lng': -73.9368513},40.7362139,-73.9368513
"Blue Sky Residence, Bowery Residents Committee Inc., Adult Family Shelter",Blue Sky Residence, Bowery Residents Committee Inc., Adult Family Shelter,1352.0,Adult Family Shelter,Queens,"HILLSIDE AVENUE DEVELOPMENT, LLC",2.0,3.0,0.0,5.0,{'lat': 40.7355921 'lng': -73.7466683},40.7355921,-73.7466683
"THE STADIUM WOMEN'S SHELTER, Acacia Network Housing, Adult Shelter",THE STADIUM WOMEN'S SHELTER, Acacia Network Housing, Adult Shelter,1360.0,Adult Family Shelter,Queens,BEACH 65 LLC,0.0,0.0,0.0,0.0,{'lat': 40.7282239 'lng': -73.7948516},40.7282239,-73.7948516
"Willow Men's Shelter, Westhab Inc, Adult Shelter",Willow Men's Shelter, Westhab Inc, Adult Shelter,201565.0,Adult Family Shelter,Queens,PERFECT JSK CORP.,0.0,0.0,0.0,0.0,{'lat': 40.5934184 'lng': -73.7751704},40.5934184,-73.7751704
"Franklin Women's Shelter, HELP USA, Adult Shelter",Franklin Women's Shelter, HELP USA, Adult Shelter,527617.0,Adult Family Shelter,Queens,LG HSPT LLC,4.0,1.0,0.0,5.0,{'lat': 40.8281277 'lng': -73.905716},40.8281277,-73.905716
"NAICA II, NAICA, Adult Shelter",NAICA II, NAICA, Adult Shelter,1667.0,Adult Shelter,Bronx,DEEGAN HOTEL CORP,1.0,0.0,1.0,0.0,{'lat': 40.83195 'lng': -73.920667},40.83195,-73.920667
"Susan's Place, Care For The Homeless, Adult Shelter",Susan's Place, Care For The Homeless, Adult Shelter,1661.0,Adult Shelter,Bronx,NYC Owned (DHS),0.0,0.0,0.0,0.0,{'lat': 40.8505479 'lng': -73.9105549},40.8505479,-73.9105549
